,moduleCode,title,semesters
0,ABM5001,Leadership in Biomedicine,[2]
1,ABM5002,Advanced Biostatistics for Research,[2]
2,ABM5003,Biomedical Innovation & Enterprise,[1]
3,ABM5004,Capstone Project,"[1, 2]"
4,ABM5101,Applied Immunology,[1]
5,ABM5102,Vaccine development and its modern applications,[1]
6,ABM5103,Advanced technologies in immune therapeutic development,[1]
7,ABM5104,Microbiome-Aging-Immunity crosstalk,"[1, 2]"
8,ABM5105,Drugs used in Infectious Diseases,[1]
9,ABM5106,Anticancer Therapeutics,[2]
10,ABM5107,"One World, One Health: Ecosystems, Animals and Us",[1]
11,AC5001,Architectural History of Singapore,[1]
12,AC5002,Conservation Approaches and Philosophies,[1]
13,AC5004,Architectural Heritage Management,[2]
14,AC5007,Dissertation,"[1, 2]"
15,AC5008,Design for Conservation,[2]
16,AC5009,Design for Adaptive Reuse,[1]
17,AC5010,Historic Buildings Survey and Recording,[2]
18,AC5011,Conservation of C20th Buildings,[1]
19,AC5012,Practical Building Conservation Skills,[2]
20,AC5014,Internship,"[1, 2]"
21,AC5016,Critical Heritage Approach to Conservation and Place,[2]
22,ACC1701A,Accounting for Decision Makers,"[1, 2]"
23,ACC1701B,Accounting for Decision Makers,"[1, 2]"
24,ACC1701C,Accounting for Decision Makers,"[1, 2]"
25,ACC1701D,Accounting for Decision Makers,[1]
26,ACC1701X,Accounting for Decision Makers,"[1, 2]"
27,ACC2706,Managerial Accounting,"[1, 2]"
28,ACC2707,Corporate Accounting & Reporting I,"[1, 2]"
29,ACC2708,Corporate Accounting & Reporting II,"[1, 2]"
30,ACC2709,Accounting Information Systems,"[1, 2]"
31,ACC3701,Assurance and Attestation,"[1, 2]"
32,ACC3702,Corporate and Securities Law,"[1, 2]"
33,ACC3703,Taxation,"[1, 2]"
34,ACC3704,Advanced Corporate Accounting and Reporting,"[1, 2]"
35,ACC3705,Valuation,"[1, 2]"
36,ACC3706,"Governance, Risk Management and Sustainability","[1, 2]"
37,ACC3707,Integrated Perspectives in Accounting and Business,"[1, 2]"
38,ACC3715,Accounting Analytics and AI,[2]
39,ACC3717,Carbon Accounting and Management,[2]
40,ACC4711,Advanced Taxation,"[1, 2]"
41,ACC4712,Forensic Accounting,"[1, 2]"
42,ACC4713,Banking Institutions:Managing Risks in a DigitalWorld,[1]
43,ACC4751,Advanced Independent Study in Accounting,[1]
44,ACC4752,Advanced Independent Study in Accounting (2 MCs),[1]
45,ACC4761A,Seminars in Accounting: Internal Audit,[2]
46,ACE5401,Approaches to Arts & Cultural Entrepreneurship,[2]
47,ACE5402,Final Year Project,[2]
48,ACE5403,Internship,"[3, 4]"
49,ACE5404,Heritage: Peoples and Institutions,[1]
50,ACE5405,Cultural Industries and the Law,[2]
51,ACE5406,Arts Business,"[1, 2]"
52,ACE5407,"Museums, Exhibitions and the Curatorial","[1, 2]"
53,ACE5408,Managing Cultural Events,[2]
54,ACE5409,Arts Research and Social Practice,"[1, 2]"
55,ACE5410,Cultural Diplomacy and Intelligence,"[1, 2]"
56,ACE5411,Cultural Analytics and Informatics,"[1, 2]"
57,ACE5413,Consulting as an Advanced Communication & Career Skill,"[1, 2]"
58,ACE5414,International Culture & Communication Study Experience,"[3, 4]"
59,ACE5480,Topics in Arts and Cultural Entrepreneurship,[2]
60,AH2101,Introduction to Art History,"[1, 2]"
61,AH2201,Chinese Painting: Styles and Masters,[1]
62,AH2203,"Empire and Art: India, Singapore, Malaya",[2]
